route_text_color,route_long_name,route_id,route_type,route_pattern1,agency_id,route_pattern2,route_color,route_desc,route_url,route_short_name
FFFFFF,San Ysidro - America Plaza,510,0,510SX,MTS,510NX,0000FF,,https://www.sdmts.com/schedules-real-time?fragment=blue line,UC San Diego Blue Line
FFFFFF,Coronado Ferry,COR,4,COR-W,MTS,COR-E,000099,,http://www.sdhe.com/coronado-ferry,
FFFFFF,Iris Transit Center - 8th St. Transit Center,932,3,932-N,MTS,932-S,000099,,https://www.sdmts.com/schedules-real-time?fragment=932,932
FFFFFF,Euclid Av Transit Center - UTC  via Convoy,60,3,60-N,MTS,60-S,CC0000,,https://www.sdmts.com/schedules-real-time?fragment=60,60
FFFFFF,Grossmont Transit Ctr -- Grossmont College,854,3,854-N,MTS,854-S,000099,,https://www.sdmts.com/schedules-real-time?fragment=854,854
FFFFFF,Rancho San Diego - La Mesa,855,3,855-N,MTS,855-S,000099,,https://www.sdmts.com/schedules-real-time?fragment=855,855
FFFFFF,SDSU - Cuyamaca College,856,3,856-S,MTS,856-N,000099,,https://www.sdmts.com/schedules-real-time?fragment=856,856
FFFFFF,UCSD Coaster Connection,974,3,974,MTS,,000099,,https://www.sdmts.com/schedules-real-time?fragment=974,974
FFFFFF,Carroll Canyon Coaster Connection,973,3,973-CC,MTS,,006600,,https://www.sdmts.com/schedules-real-time?fragment=973,973
FFFFFF,Sorrento Mesa Coaster Connection,972,3,972-CW,MTS,,006600,,https://www.sdmts.com/schedules-real-time?fragment=972,972
FFFFFF,University & 54th - Grossmont Transit Ctr,852,3,852-E,MTS,852-W,000099,,https://www.sdmts.com/schedules-real-time?fragment=852,852
