service_id,date,exception_type
70504-1111100-0,20200529,1
70504-1111100-0,20200528,1
70504-1111100-0,20200527,1
70504-1111100-0,20200526,1
70504-1111100-0,20200428,1
70504-1111100-0,20200429,1
70504-1111100-0,20200508,1
70504-1111100-0,20200521,1
70504-1111100-0,20200520,1
70504-1111100-0,20200611,1
70504-1111100-0,20200610,1
70504-1111100-0,20200626,1
70504-1111100-0,20200414,1
70504-1111100-0,20200615,1
70504-1111100-0,20200617,1
70504-1111100-0,20200616,1
70504-1111100-0,20200619,1
70504-1111100-0,20200618,1
70504-1111100-0,20200522,1
70504-1111100-0,20200612,1
70504-1111100-0,20200415,1
70504-1111100-0,20200512,1
70504-1111100-0,20200513,1
70504-1111100-0,20200511,1
70504-1111100-0,20200430,1
70504-1111100-0,20200514,1
70504-1111100-0,20200515,1
70504-1111100-0,20200417,1
70504-1111100-0,20200416,1
70504-1111100-0,20200518,1
70504-1111100-0,20200519,1
70504-1111100-0,20200413,1
70504-1111100-0,20200422,1
70504-1111100-0,20200608,1
70504-1111100-0,20200609,1
70504-1111100-0,20200622,1
70504-1111100-0,20200623,1
70504-1111100-0,20200624,1
70504-1111100-0,20200603,1
70504-1111100-0,20200420,1
70504-1111100-0,20200601,1
70504-1111100-0,20200421,1
70504-1111100-0,20200604,1
70254-0000010-0,20200217,1
70205-1111100-0,20200226,1
70205-1111100-0,20200408,1
70205-1111100-0,20200409,1
70205-1111100-0,20200320,1
70205-1111100-0,20200323,1
70205-1111100-0,20200407,1
70205-1111100-0,20200325,1
70205-1111100-0,20200401,1
70205-1111100-0,20200327,1
70205-1111100-0,20200326,1
70205-1111100-0,20200303,1
70205-1111100-0,20200302,1
70205-1111100-0,20200306,1
70205-1111100-0,20200305,1
70205-1111100-0,20200304,1
70205-1111100-0,20200203,1
70205-1111100-0,20200309,1
70205-1111100-0,20200206,1
70205-1111100-0,20200207,1
70205-1111100-0,20200204,1
70205-1111100-0,20200324,1
70205-1111100-0,20200224,1
70205-1111100-0,20200225,1
70205-1111100-0,20200129,1
70205-1111100-0,20200128,1
70205-1111100-0,20200220,1
70205-1111100-0,20200221,1
70205-1111100-0,20200406,1
70205-1111100-0,20200403,1
70205-1111100-0,20200228,1
70205-1111100-0,20200227,1
70205-1111100-0,20200205,1
70205-1111100-0,20200410,1
70205-1111100-0,20200310,1
70205-1111100-0,20200311,1
70205-1111100-0,20200312,1
70205-1111100-0,20200313,1
70205-1111100-0,20200219,1
70205-1111100-0,20200218,1
70205-1111100-0,20200330,1
70205-1111100-0,20200317,1
70205-1111100-0,20200318,1
70205-1111100-0,20200127,1
70205-1111100-0,20200331,1
70205-1111100-0,20200211,1
70205-1111100-0,20200210,1
70205-1111100-0,20200213,1
70205-1111100-0,20200212,1
70205-1111100-0,20200402,1
70205-1111100-0,20200316,1
70205-1111100-0,20200214,1
70205-1111100-0,20200130,1
70205-1111100-0,20200131,1
70205-1111100-0,20200319,1
7018411-1111100-11,20200312,1
7018411-1111100-11,20200305,1
7018411-1111100-11,20200319,1
7018411-1111100-11,20200206,1
7018411-1111100-11,20200213,1
7018411-1111100-11,20200227,1
7018411-1111100-11,20200220,1
7018411-1111100-11,20200409,1
7018411-1111100-11,20200130,1
7018411-1111100-11,20200402,1
7018411-1111100-11,20200326,1
7055525-0000010-25,20200620,1
7055525-0000010-25,20200613,1
7055525-0000010-25,20200627,1
70178-1111100-0,20200226,1
70178-1111100-0,20200408,1
70178-1111100-0,20200409,1
70178-1111100-0,20200320,1
70178-1111100-0,20200323,1
70178-1111100-0,20200407,1
70178-1111100-0,20200325,1
70178-1111100-0,20200401,1
70178-1111100-0,20200327,1
70178-1111100-0,20200326,1
70178-1111100-0,20200303,1
70178-1111100-0,20200302,1
70178-1111100-0,20200306,1
70178-1111100-0,20200305,1
70178-1111100-0,20200304,1
70178-1111100-0,20200203,1
70178-1111100-0,20200309,1
70178-1111100-0,20200206,1
70178-1111100-0,20200207,1
70178-1111100-0,20200204,1
70178-1111100-0,20200324,1
70178-1111100-0,20200224,1
70178-1111100-0,20200225,1
70178-1111100-0,20200129,1
70178-1111100-0,20200128,1
70178-1111100-0,20200220,1
70178-1111100-0,20200221,1
70178-1111100-0,20200406,1
70178-1111100-0,20200403,1
70178-1111100-0,20200228,1
70178-1111100-0,20200227,1
70178-1111100-0,20200205,1
70178-1111100-0,20200410,1
70178-1111100-0,20200310,1
70178-1111100-0,20200311,1
